t,y
0.00E+00,1.40E-02
6.60E-02,1.35E-02
1.33E-01,1.23E-02
2.00E-01,1.34E-02
2.66E-01,1.51E-02
3.33E-01,1.77E-02
4.00E-01,1.98E-02
4.66E-01,2.03E-02
5.33E-01,1.83E-02
6.00E-01,1.47E-02
6.66E-01,1.27E-02
7.33E-01,1.14E-02
8.00E-01,1.07E-02
8.66E-01,1.18E-02
9.33E-01,1.25E-02
1.00E+00,1.57E-02
1.07E+00,1.84E-02
1.13E+00,1.95E-02
1.20E+00,2.03E-02
1.27E+00,1.88E-02
1.33E+00,1.44E-02
1.40E+00,1.29E-02
1.47E+00,1.26E-02
1.53E+00,1.65E-02
1.60E+00,1.92E-02
1.67E+00,2.38E-02
1.73E+00,2.36E-02
1.80E+00,2.29E-02
1.87E+00,1.94E-02
1.93E+00,1.51E-02
2.00E+00,1.41E-02
2.07E+00,1.47E-02
2.13E+00,1.76E-02
2.20E+00,1.84E-02
2.27E+00,1.99E-02
2.33E+00,2.04E-02
2.40E+00,1.79E-02
2.47E+00,1.37E-02
2.53E+00,1.17E-02
2.60E+00,1.11E-02
2.67E+00,1.15E-02
2.73E+00,1.43E-02
2.80E+00,1.58E-02
2.87E+00,1.59E-02
